SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;13;6,8;0;0,0;0;0,0;0;0,0;6,7
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0131;ak;aardrijkskunde;;0;0;29;5,9;29;5,9;29;5,4;29;5,4;5,7
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0251;m&o;management en organisatie;;0;0;33;6,0;33;6,0;33;6,4;33;6,4;6,2
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0270;te;tekenen;;0;0;33;6,9;33;6,9;33;5,9;33;5,9;6,5
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0353;lo;lichamelijke opvoeding;G;49;49;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0353;lo;lichamelijke opvoeding;V;61;61;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;110;6,0;110;6,0;110;5,8;110;5,8;6,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1002;entl;Engelse taal en literatuur;;0;0;110;6,1;110;6,1;110;5,9;110;5,9;6,1
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1003;fatl;Franse taal en literatuur;;0;0;15;6,1;15;6,1;15;6,5;15;6,5;6,5
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;40;7,0;40;7,0;40;4,9;40;4,9;6,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1018;biol;biologie;;0;0;16;6,1;16;6,1;16;6,0;16;6,0;6,1
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1019;maat;maatschappijleer;;0;0;110;5,8;0;0,0;0;0,0;0;0,0;5,8
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;44;44;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;66;66;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1021;ges;geschiedenis;;0;0;82;6,5;82;6,5;82;6,2;82;6,2;6,4
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1022;econ;economie;;0;0;92;6,0;92;6,0;92;5,8;92;5,8;5,9
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1023;nat;natuurkunde;;0;0;20;6,4;20;6,4;20;6,9;20;6,9;6,7
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1024;wisA;wiskunde A;;0;0;73;6,4;73;6,4;73;5,8;73;5,8;6,1
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1025;wisB;wiskunde B;;0;0;19;6,0;19;6,0;19;6,3;19;6,3;6,2
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1028;schk;scheikunde;;0;0;28;6,4;28;6,4;28;7,0;28;7,0;6,7
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1034;maw;maatschappijwetenschappen;;0;0;32;6,0;32;6,0;32;5,3;32;5,3;5,7
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1035;nlt;natuur, leven en technologie;;0;0;21;7,0;0;0,0;0;0,0;0;0,0;7,0
2011;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1036;hndv;handvaardigheid;;0;0;17;7,2;17;7,2;17;6,2;17;6,2;6,8
2011;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0131;ak;aardrijkskunde;;0;0;21;6,3;21;6,3;21;6,5;21;6,5;6,3
2011;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0353;lo;lichamelijke opvoeding;G;7;7;0;0,0;0;0,0;0;0,0;0;0,0;0,0
2011;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0353;lo;lichamelijke opvoeding;V;31;31;0;0,0;0;0,0;0;0,0;0;0,0;0,0
